"question_text","role","program","participant_id","question_id","question_language","age","gender","gender[other]","educationlevel","educationstatus","familiar","interviewtime","demographics_time","question_time","email_time"
"Wie sind die Öffnungszeiten der Bibliothek Heger-Tor-Wall?","enrolled","Wirtschaftsrecht","43","20","de","A2","A2","","A4","A4","A3","343.07","45.47","292.08","5.52"
"Wo finde ich einen Gebäudeplan der Universität Osnabrück?","enrolled","Wirtschaftsrecht","46","21","de","A3","A2","","A6","A4","A4","471.32","61.98","394.89","14.45"
"Was tut die Universität Osnabrück konkret, um marginalisierte Gruppen im Studienleben zu fördern?","enrolled","","47","22","de","A3","-oth-","Nichtbinär","A5","A4","A3","392.53","39.66","344.84","8.03"
"Was sind die Öffnungszeiten des Prüfungsamt Cognitive Science? ","other","","49","23","de","A3","A2","","A6","A7","A2","531.24","61.25","464.91","5.08"
"How do I get a new Campus card?","enrolled","Cognitive Science","50","24","en","A3","A2","","A4","A4","A2","236.81","29.64","192.72","14.45"
"Welche Kurse muss ich belegen?","enrolled","Master Lehramt an Gymnasien","51","25","de","A3","A2","","A5","A4","A3","440.72","70.19","358.17","12.36"
"How much does it cost to live in Osnabrück as an international student?","enrolled","Cognitive Science","52","26","en","A3","A2","","A5","A4","A1","411.74","52.45","296.34","62.95"
"What scholarships are available for international Master’s students at Osnabrück University?","international","Cognitive Science","53","27","en","A3","A2","","A6","A5","A1","534.43","81.53","387.84","65.06"
"Wo kann ich die neuen study regulations für Cognitive Science ab dem Wintersemester 24/25 finden?","enrolled","Cognitive Science","54","28","de","A2","A2","","A4","A4","A2","420.47","58.39","343.54","18.54"
"Wo finde ich das Formular zur Anmeldung meiner Bachelorarbeit?","enrolled","Cognitive Science, B.Sc.","57","30","de","A2","A2","","A4","A4","A1","354.19","40.38","241.74","72.07"
"Welche Studiengänge gilt es auf der Universität ","other","","71","31","de","A2","A2","","A4","A1","A2","250.56","64.16","177.46","8.94"
"Wie viel kostet mich ein Semester an der Uni?","prospective","","72","32","de","A1","A2","","A4","A2","A4","743.18","413.85","310.76","18.57"
"Welche Studiengänge sind an der Uni vertreten?","enrolled","Rechtswissenschaften","77","33","de","A2","A2","","A4","A4","A2","565.25","84.76","461.16","19.33"
"Wer sind die Ansprechpartner bezüglich eines Studienstarts? ","prospective","","85","35","de","A1","A2","","A4","A2","A5","658.58","153.64","496.42","8.52"
"Welche Studiengänge werden Angeboten?","prospective","","86","36","de","A1","A2","","A4","A2","A3","460.74","57.33","389.96","13.45"
"Welche Studiengänge kann man an der Uni Osnabrück studieren?","prospective","","88","37","de","A1","A2","","A2","A2","A2","414.7","135.11","264.4","15.19"
"Wie viele Studenten sind da?","other","","92","38","de","A1","A2","","A2","A1","A2","303.55","63.41","232.83","7.31"
"Welche Studiengänge werden angeboten?","other","","93","39","de","A1","A2","","A2","A1","A2","641.42","187.82","435.48","18.12"
"Bieten sie grundschullehramt Studiengänge an?
","prospective","","99","41","de","A2","A2","","A2","A2","A3","1202.31","154.2","1036.36","11.75"
"Ist das Studium Biologie zulassungsbeschränkt?","enrolled","Biologie","102","42","de","A2","A2","","A4","A4","A2","506.07","60.73","432.18","13.16"
"Welche Studiengänge gibt es?","other","","109","44","de","A1","A2","","A2","A1","A3","278.85","83.17","187.82","7.86"
"Welche Fächer werden an dieser Uni unterrichtet ","prospective","","112","45","de","A1","A1","","A2","A2","A1","374.51","103.69","254.58","16.24"
"Was für Studiengänge gibt es?","other","","114","46","de","A1","A2","","A2","A1","A3","269.69","53.81","192.19","23.69"
"Welche Studienfächer gibt es an der Universität?","enrolled","Soziologie","115","47","de","A3","A2","","A5","A4","A4","231.12","45.58","178.93","6.61"
"Was kann ich alles studieren?","other","","117","48","de","A1","A1","","A2","A1","A3","172.49","56.36","110.6","5.53"
"Welche Kurse gibt es dieses Semester im Bereich Cognitive Science (Bachelor)?","enrolled","Cognitive Science","118","49","de","A2","A2","","A4","A4","A2","493.27","35.0","423.33","34.94"
"Wie lange dauert ein Studium?","prospective","","119","50","de","A1","A1","","A2","A2","A3","180.71","41.57","133.58","5.56"
"What academic programs are offered at Osnabrück University, especially in the fields of science and technology?","international","Cognitive science","120","51","en","A2","A1","","A4","A5","A3","278.49","64.85","181.97","31.67"
"Was muss ich alles für meine Immatrikulation erledigen?","enrolled","Cognitive Science","16","52","de","A2","A1","","A4","A4","A1","296.44","41.96","235.25","19.23"
"Is University of Osnabrück an international student friendly campus?","enrolled","Cognitive Science","17","53","en","A2","A2","","A4","A4","A2","415.44","38.97","356.76","19.71"
"Ich muss eine Präsentation machen, wo finde ich Vorlagen in verschiedenen Dateiformaten?","enrolled","Bachelor of Science Cognitive Science","18","54","de","A2","A1","","A4","A4","A2","539.12","66.19","456.09","16.84"
"Wann fängt da nächste Semester an?","enrolled","Cognitive Science","19","55","de","A3","A2","","A5","A4","A1","419.18","34.73","379.1","5.35"
"An wen muss ich mich wenden, wenn ich im nächsten Jahr ein Auslandssemester plane?","enrolled","Cognitive Science","20","56","de","A2","A2","","A4","A4","A2","443.46","49.35","347.8","46.31"
"In welchen Ländern hat die Universität Osnabrück Partnerschaften für ein Auslandssemester?","enrolled","Cognitive Science","21","57","de","A2","A2","","A5","A4","A3","848.8","55.92","751.32","41.56"
"Was gibt es heute in der Mensa Westerberg zu essen?","enrolled","Cognitive Science","23","59","de","A2","A2","","A4","A4","A2","496.45","76.49","396.08","23.88"
"Wo ist das International Office?","international","Bachelor of Science, Cognitive Science","24","60","de","A2","A2","","A4","A5","A1","531.26","48.45","447.18","35.63"
"Ich möchte mein Pflicht-Auslandssemester in Form eines Auslandspraktikums durchführen. Darf ich dieses Praktikum theoretisch auch in den Sommerferien abschließen, falls es ein Projekt gibt wo dies zeitlich passen würde, oder darf ich es nur während dem Semester machen?","enrolled","Bachelor of Science, Cognitive Science","26","61","de","A2","A1","","A4","A4","A1","1198.34","78.39","1090.87","29.08"
"Welche Kurse sind fuer Cognitive Science studenten im naechstne semester verfuegbar?","enrolled","Cognitive Science","27","62","de","A2","A1","","A4","A4","A1","438.64","64.2","357.17","17.27"
"Was ist die Bewerbungsfrist für den Masterstudiengang Cognitive science für das Kommende Sommer Semester? ","enrolled","Cognitive Science","28","63","de","A3","A1","","A2","A4","A2","770.65","396.13","364.82","9.7"
"Where can I find information on my semester abroad? What do I need to hand in and where do I apply? ","enrolled","Cognitive Science","29","64","en","A2","A2","","A4","A4","A1","886.18","99.94","636.79","149.45"
"Gibt es eine zentrale Anlaufstelle, bei der ich jede beliebige Frage stellen kann?","enrolled","Cognitive Science B.Sc.","31","65","de","A2","A2","","A4","A4","A3","485.73","47.36","423.78","14.59"
"Wie lange dauert es in Regelstudienzeit Psychologie zu studieren?","enrolled","Psychologie","36","67","de","A2","A2","","A5","A4","A2","1634.31","27.81","1526.32","80.18"
"Wie läuft der Bewerbungsprozess für internationale Studierende ab, und welche Dokumente werden benötigt?","other",".","37","68","de","A8","A3","","A10","A8","A6","651.14","419.28","194.43","37.43"
"Wer ist der/ die Ansprechpartner*in für mein Studienfach? bzw. für mein spezifische Anliegen?","enrolled","Lehramt für berufsbildende Schulen","39","69","de","A3","A1","","A5","A4","A2","310.06","54.0","244.02","12.04"
"Wo finde ich Informationen zu einem möglichen Auslandsaufenthalt?","enrolled","","42","70","de","A2","A2","","A4","A4","A5","392.59","42.69","339.2","10.7"
"Wann hat die Mensa Schlossgarten heute geöffnet?","enrolled","Wirtschaftsrecht","43","71","de","A2","A2","","A4","A4","A3","343.07","45.47","292.08","5.52"
"Wie funktioniert das Raumnummerierungssystem?","enrolled","Wirtschaftsrecht","46","72","de","A3","A2","","A6","A4","A4","471.32","61.98","394.89","14.45"
"Sind die oberen Führungsebenen der Universität Osnabrück durchschnittlich Weiß und männlich?","enrolled","","47","73","de","A3","-oth-","Nichtbinär","A5","A4","A3","392.53","39.66","344.84","8.03"
"Wann beginnt das neue Semester?","other","","49","74","de","A3","A2","","A6","A7","A2","531.24","61.25","464.91","5.08"
"Where do I find the map of the campus","enrolled","Cognitive Science","50","75","en","A3","A2","","A4","A4","A2","236.81","29.64","192.72","14.45"
"Was gibt es für Veranstaltungen an der Uni, an denen ich neues kennenlernen kann?","enrolled","Master Lehramt an Gymnasien","51","76","de","A3","A2","","A5","A4","A3","440.72","70.19","358.17","12.36"
"What are the part-time job opportunities for students in Osnabrück?","enrolled","Cognitive Science","52","77","en","A3","A2","","A5","A4","A1","411.74","52.45","296.34","62.95"
"What health and counseling services are available for international students?","international","Cognitive Science","53","78","en","A3","A2","","A6","A5","A1","534.43","81.53","387.84","65.06"
"Gibt es eine App in der ich das Angebot der Mensa einsehen kann?","enrolled","Cognitive Science","54","79","de","A2","A2","","A4","A4","A2","420.47","58.39","343.54","18.54"
"Wann endet der Rückmeldungszeitraum dieses Senester?","enrolled","Cognitive Science","56","80","de","A3","A1","","A4","A4","A2","1054.06","45.21","962.92","45.93"
"Ist ein Auslandssemester für den Bachelor Abschluss in Cognitive Science notwendig?","enrolled","Cognitive Science, B.Sc.","57","81","de","A2","A2","","A4","A4","A1","354.19","40.38","241.74","72.07"
"Welchen Abschluss brauche ich ","other","","71","82","de","A2","A2","","A4","A1","A2","250.56","64.16","177.46","8.94"
"Wo finde ich Wohnungsmöglichkeiten in der Nähe der Uni? ","prospective","","72","83","de","A1","A2","","A4","A2","A4","743.18","413.85","310.76","18.57"
"Wo ist (Bsp: Raum. 01/E01)?","enrolled","Rechtswissenschaften","77","84","de","A2","A2","","A4","A4","A2","565.25","84.76","461.16","19.33"
"How should I decide which scholarship grant to apply to given my personal situation?","international","Cognitive Science","83","85","en","A2","A2","","A4","A5","A4","483.54","71.2","349.62","62.72"
"Welche Studiengänge gibt es an der Universität Osnabrück?","prospective","","85","86","de","A1","A2","","A4","A2","A5","658.58","153.64","496.42","8.52"
"Besteht die Möglichkeit an Auslandsaufenthalten teilzunehmen?","prospective","","86","87","de","A1","A2","","A4","A2","A3","460.74","57.33","389.96","13.45"
"Wie bewirbt man sich für ein Studium, und braucht man dafür einen bestimmten Notendurchschnitt","prospective","","88","88","de","A1","A2","","A2","A2","A2","414.7","135.11","264.4","15.19"
"Sind die Räume gut beheizt?","other","","92","89","de","A1","A2","","A2","A1","A2","303.55","63.41","232.83","7.31"
"Ab welchem Notendurchschnitt wird man an der Uni (vielleicht) angenommen?","other","","93","90","de","A1","A2","","A2","A1","A2","641.42","187.82","435.48","18.12"
"Ist die Uni gut erreichbar?","prospective","","99","92","de","A2","A2","","A2","A2","A3","1202.31","154.2","1036.36","11.75"
"Bis wann kann ich mich für Bachelor Biologie bewerben?","enrolled","Biologie","102","93","de","A2","A2","","A4","A4","A2","506.07","60.73","432.18","13.16"
"What documents do I need to submit?","international","Cognitive science","103","94","en","A3","A2","","A5","A5","A2","237.7","31.74","200.95","5.01"
"Wie ist die Geschichte der Uni?","other","","109","95","de","A1","A2","","A2","A1","A3","278.85","83.17","187.82","7.86"
"Welche Fächer könnten etwas für mich sein ","prospective","","112","96","de","A1","A1","","A2","A2","A1","374.51","103.69","254.58","16.24"
"Welchen nc braucht man für welches Studium?","other","","114","97","de","A1","A2","","A2","A1","A3","269.69","53.81","192.19","23.69"
"Wie melde ich mich fuer meine Bachelorarbeit an?","enrolled","Cognitive Science","118","100","de","A2","A2","","A4","A4","A2","493.27","35.0","423.33","34.94"
"Was ist besser Studium oder Ausbildung?","prospective","","119","101","de","A1","A1","","A2","A2","A3","180.71","41.57","133.58","5.56"
"What are the admission requirements for international students, and are there specific language proficiency tests accepted?","international","Cognitive science","120","102","en","A2","A1","","A4","A5","A3","278.49","64.85","181.97","31.67"
"Was muss ich alles nach meiner Immatrikulation erledigen?","enrolled","Cognitive Science","16","103","de","A2","A1","","A4","A4","A1","296.44","41.96","235.25","19.23"
"How am I able to get a student accomodation during my arrival at Osnabrück?","enrolled","Cognitive Science","17","104","en","A2","A2","","A4","A4","A2","415.44","38.97","356.76","19.71"
"Welche Tools stellt die Uni mir zur Verfügung?","enrolled","Bachelor of Science Cognitive Science","18","105","de","A2","A1","","A4","A4","A2","539.12","66.19","456.09","16.84"
"Wo finde ich Infos zu Stipendien?","enrolled","Cognitive Science","19","106","de","A3","A2","","A5","A4","A1","419.18","34.73","379.1","5.35"
"Wie kann ich auf Online Inhalte der Bibliothek zugreifen?","enrolled","Cognitive Science","20","107","de","A2","A2","","A4","A4","A2","443.46","49.35","347.8","46.31"
"Wann sind wieder Semesterferien?","enrolled","Cognitive Science","21","108","de","A2","A2","","A5","A4","A3","848.8","55.92","751.32","41.56"
"Welche Studiengänge bietet die Universität Osnabrück an?","enrolled","Cognitive Science","23","110","de","A2","A2","","A4","A4","A2","496.45","76.49","396.08","23.88"
"Wie melde ich mich für eine Bachelorarbeit an?","international","Bachelor of Science, Cognitive Science","24","111","de","A2","A2","","A4","A5","A1","531.26","48.45","447.18","35.63"
"Darf ich während meines Auslandssemesters bzw. Auslandspraktikums weiterhin an Kursen der Universität Osnabrück teilnehmen? Oder ist meine Teilnahme an Kursen in dem Zeitraum des Auslandsaufenthalts blockiert? ","enrolled","Bachelor of Science, Cognitive Science","26","112","de","A2","A1","","A4","A4","A1","1198.34","78.39","1090.87","29.08"
"Ich arbeite als Werkstudent, kann ich als Tutor auf minijob basis arbeiten?","enrolled","Cognitive Science","27","113","de","A2","A1","","A4","A4","A1","438.64","64.2","357.17","17.27"
"Wie viele Leistunspunke ist das Master Projekt in Cognitive science? ","enrolled","Cognitive Science","28","114","de","A3","A1","","A2","A4","A2","770.65","396.13","364.82","9.7"
"I want to have student financial support. Are there any options provided by the university itself? ","enrolled","Cognitive Science","29","115","en","A2","A2","","A4","A4","A1","886.18","99.94","636.79","149.45"
"Passt dieser Studiengang wirklich zu mir?","enrolled","Cognitive Science B.Sc.","31","116","de","A2","A2","","A4","A4","A3","485.73","47.36","423.78","14.59"
"Auf welche Master Studiengänge (der UOS) kann ich mich mit meinem Bachelor in Cognitive Science bewerben?","enrolled","Cognitive Science","35","117","de","A2","A1","","A4","A4","A2","972.32","141.77","803.98","26.57"
"Wo finde ich Praktikumsstellen?","enrolled","Psychologie","36","118","de","A2","A2","","A5","A4","A2","1634.31","27.81","1526.32","80.18"
"Wo finde ich Informationen zu den Wohnheimen oder anderen Unterkunftsmöglichkeiten für Studierende in Osnabrück?","other",".","37","119","de","A8","A3","","A10","A8","A6","651.14","419.28","194.43","37.43"
"An wen kann ich mich wenden, um berufspraktische Tätigkeiten nachzuweisen?","enrolled","Lehramt für berufsbildende Schulen","39","120","de","A3","A1","","A5","A4","A2","310.06","54.0","244.02","12.04"
"Wo finde ich allgemeine Informationen zu den verschiedenen Fachbereichen?","enrolled","","42","121","de","A2","A2","","A4","A4","A5","392.59","42.69","339.2","10.7"
"Wo finde ich das Klausurdeckblatt zum downloaden?","enrolled","Wirtschaftsrecht","43","122","de","A2","A2","","A4","A4","A3","343.07","45.47","292.08","5.52"
"Wo kann ich meine bisher erbrachten Leistungen und Noten einsehen?","enrolled","Wirtschaftsrecht","46","123","de","A3","A2","","A6","A4","A4","471.32","61.98","394.89","14.45"
"Welche Angebote vom Sportzentrum gibt es?","enrolled","","47","124","de","A3","-oth-","Nichtbinär","A5","A4","A3","392.53","39.66","344.84","8.03"
"Welcher Hausmeister ist für Gebäude 94 zuständig?","other","","49","125","de","A3","A2","","A6","A7","A2","531.24","61.25","464.91","5.08"
"When is the holiday for this semester?","enrolled","Cognitive Science","50","126","en","A3","A2","","A4","A4","A2","236.81","29.64","192.72","14.45"
"Was mache ich bei Studienzweifeln?","enrolled","Master Lehramt an Gymnasien","51","127","de","A3","A2","","A5","A4","A3","440.72","70.19","358.17","12.36"
"What is the credit system to finish my masters?","enrolled","Cognitive Science","52","128","en","A3","A2","","A5","A4","A1","411.74","52.45","296.34","62.95"
"Are there any special workshops or networking events for Master’s students in Cognitive Science?","international","Cognitive Science","53","129","en","A3","A2","","A6","A5","A1","534.43","81.53","387.84","65.06"
"Bis wann kann ich mich für einen NC-freien Studiengang an der Uni einschreiben?","enrolled","Cognitive Science","54","130","de","A2","A2","","A4","A4","A2","420.47","58.39","343.54","18.54"
"Was gibt es heute in der Mensa?","enrolled","Cognitive Science","56","131","de","A3","A1","","A4","A4","A2","1054.06","45.21","962.92","45.93"
"Wo finde ich das Formular für Versuchspersonenstunden?","enrolled","Cognitive Science, B.Sc.","57","132","de","A2","A2","","A4","A4","A1","354.19","40.38","241.74","72.07"
"Welche angebote bietet der Universität ","other","","71","133","de","A2","A2","","A4","A1","A2","250.56","64.16","177.46","8.94"
"Wie viele Student studieren momentan an der Uni? ","prospective","","72","134","de","A1","A2","","A4","A2","A4","743.18","413.85","310.76","18.57"
"Wie lauten die Kontaktdaten der Uni?","enrolled","Rechtswissenschaften","77","135","de","A2","A2","","A4","A4","A2","565.25","84.76","461.16","19.33"
"How can I apply to language learning services?","international","Cognitive Science","83","136","en","A2","A2","","A4","A5","A4","483.54","71.2","349.62","62.72"
"Gibt es Auslandssemester, die von der Universität angeboten werden? ","prospective","","85","137","de","A1","A2","","A4","A2","A5","658.58","153.64","496.42","8.52"
"Wie kann ich jemanden erreichen, der mir weiterhilft?","prospective","","86","138","de","A1","A2","","A4","A2","A3","460.74","57.33","389.96","13.45"
"Gibt es an der Uni ein Angebot für Schüler, wie z. B. Schnuppertage oder Vorlesungen?","prospective","","88","139","de","A1","A2","","A2","A2","A2","414.7","135.11","264.4","15.19"
"Wen sollte ich bei Hilfe fragen?","other","","92","140","de","A1","A2","","A2","A1","A2","303.55","63.41","232.83","7.31"
"Was ist besonders an der Uni? / Was bietet diese, was andere Universitäten nicht bieten?","other","","93","141","de","A1","A2","","A2","A1","A2","641.42","187.82","435.48","18.12"
"Wie sind die Mietpreise für Wohnungen in der Nähe des Campus","prospective","","99","143","de","A2","A2","","A2","A2","A3","1202.31","154.2","1036.36","11.75"
"Erfolgt die Bewerbung für Studium über Uniassist oder direkt?","enrolled","Biologie","102","144","de","A2","A2","","A4","A4","A2","506.07","60.73","432.18","13.16"
"What are the requirements?","international","Cognitive science","103","145","en","A3","A2","","A5","A5","A2","237.7","31.74","200.95","5.01"
"Wie unterscheidet sich die Univon anderen?","other","","109","146","de","A1","A2","","A2","A1","A3","278.85","83.17","187.82","7.86"
"Wie ist  Wohnsituation wenn man hier studieren möchte ","prospective","","112","147","de","A1","A1","","A2","A2","A1","374.51","103.69","254.58","16.24"
"Wie lange geht das Lehramtstudium","other","","114","148","de","A1","A2","","A2","A1","A3","269.69","53.81","192.19","23.69"
"Wann ist Bewerbungsschluss?","enrolled","Soziologie","115","149","de","A3","A2","","A5","A4","A4","231.12","45.58","178.93","6.61"
"wie teuer ist studieren?","other","","117","150","de","A1","A1","","A2","A1","A3","172.49","56.36","110.6","5.53"
"Welche anderen Studiengaenge gibt es mit einem Informatik Schwerpunkt?","enrolled","Cognitive Science","118","151","de","A2","A2","","A4","A4","A2","493.27","35.0","423.33","34.94"
"Welche Fächer kann man studieren?","prospective","","119","152","de","A1","A1","","A2","A2","A3","180.71","41.57","133.58","5.56"
"Can you provide details about scholarships or financial aid options available for international students?","international","Cognitive science","120","153","en","A2","A1","","A4","A5","A3","278.49","64.85","181.97","31.67"
"Wie lasse ich mich exmatrikulieren?","enrolled","Cognitive Science","16","154","de","A2","A1","","A4","A4","A1","296.44","41.96","235.25","19.23"
"How similar is cognitive science to psychology and biology?","enrolled","Cognitive Science","17","155","en","A2","A2","","A4","A4","A2","415.44","38.97","356.76","19.71"
"Wo gibt es Werkstätten welche ich nutzen kann? Z.b. Holz oder Drucker","enrolled","Bachelor of Science Cognitive Science","18","156","de","A2","A1","","A4","A4","A2","539.12","66.19","456.09","16.84"
"Wie bewerbe ich mich für den Master Cognitive Science?","enrolled","Cognitive Science","19","157","de","A3","A2","","A5","A4","A1","419.18","34.73","379.1","5.35"
"Wann sind zwischen 2025 und 2027 vorlesungsfreie Zeiten?","enrolled","Cognitive Science","20","158","de","A2","A2","","A4","A4","A2","443.46","49.35","347.8","46.31"
"Wie lautet die Adresse für das Gebäude 15?","enrolled","Cognitive Science","21","159","de","A2","A2","","A5","A4","A3","848.8","55.92","751.32","41.56"
"Ich habe an das Impressum eine Mail geschickt, kriege aber keine Antwort. Gibt es noch weitere Kontaktmöglichkeiten.","enrolled","Cognitive Science","22","160","de","A3","A1","","A3","A4","A1","395.81","36.07","347.91","11.83"
"Bekomme ich als Semesterticket ein Deutschlandticket gestellt?","enrolled","Cognitive Science","23","161","de","A2","A2","","A4","A4","A2","496.45","76.49","396.08","23.88"
"Welche Institute sind am Standort Westerberg?","international","Bachelor of Science, Cognitive Science","24","162","de","A2","A2","","A4","A5","A1","531.26","48.45","447.18","35.63"
"Wenn mein Pflicht-Auslandsaufenthalt z.B. im Dezember aufhört (weil ich in einem Land mit anderen Semesterzeiten bin oder weil mein Praktikum nur bis Dezember geht), dürfte ich dann theoretisch noch im restlichen Wintersemester der Uni Osnabrück (welches bis März geht) an Kursen teilnehmen und sogar eine Klausur in diesen Kursen schreiben?","enrolled","Bachelor of Science, Cognitive Science","26","163","de","A2","A1","","A4","A4","A1","1198.34","78.39","1090.87","29.08"
"Wann bekomme ich eine Antwort ob ich das Niedersachenstipendium bekomme?","enrolled","Cognitive Science","27","164","de","A2","A1","","A4","A4","A1","438.64","64.2","357.17","17.27"
"Was ist der Hauptunterschied zwischen PO 2019 und 2024 für den Cognitive Science Bachelor Studiengang? ","enrolled","Cognitive Science","28","165","de","A3","A1","","A2","A4","A2","770.65","396.13","364.82","9.7"
"If I want to start a project with a professor, what do I do? Do I adress the professor directly or is there anyone else better to contact? ","enrolled","Cognitive Science","29","166","en","A2","A2","","A4","A4","A1","886.18","99.94","636.79","149.45"
"Sollte ich mich um Bafög oder ein Stipendium kümmern und wenn ja, wie genau gehe ich vor?
","enrolled","Cognitive Science B.Sc.","31","167","de","A2","A2","","A4","A4","A3","485.73","47.36","423.78","14.59"
"Welche Studiengänge sind am meisten vertreten?","enrolled","Cognitive Science","35","168","de","A2","A1","","A4","A4","A2","972.32","141.77","803.98","26.57"
"Wo finde ich die Mensa am Westerberg?","enrolled","Psychologie","36","169","de","A2","A2","","A5","A4","A2","1634.31","27.81","1526.32","80.18"
"Gibt es finanzielle Unterstützung oder Stipendienprogramme für Studierende, und wie kann ich mich dafür bewerben?","other",".","37","170","de","A8","A3","","A10","A8","A6","651.14","419.28","194.43","37.43"
"Wo finde ich die Prüfungsordnungen und Modulbeschreibungen für mein Studienfach?","enrolled","Lehramt für berufsbildende Schulen","39","171","de","A3","A1","","A5","A4","A2","310.06","54.0","244.02","12.04"
"Wie hoch ist der Semesterbeitrag und wann ist dieser fällig?","enrolled","","42","172","de","A2","A2","","A4","A4","A5","392.59","42.69","339.2","10.7"
"Wo finde ich die Klausur- und Prüfungstermine für FB 10? ","enrolled","Wirtschaftsrecht","43","173","de","A2","A2","","A4","A4","A3","343.07","45.47","292.08","5.52"
"Wie lasse ich mir die Teilnahme an Veranstaltungen anrechnen, die nicht Teil meines Studiengangs sind?","enrolled","Wirtschaftsrecht","46","174","de","A3","A2","","A6","A4","A4","471.32","61.98","394.89","14.45"
"Welche Angebote vom Sprachenzentrum gibt es?","enrolled","","47","175","de","A3","-oth-","Nichtbinär","A5","A4","A3","392.53","39.66","344.84","8.03"
"Gibt es an der Universität eine Professor:in, die zu 'predictive policing' forscht?","other","","49","176","de","A3","A2","","A6","A7","A2","531.24","61.25","464.91","5.08"
"How do I put money in my campus card","enrolled","Cognitive Science","50","177","en","A3","A2","","A4","A4","A2","236.81","29.64","192.72","14.45"
"Warum gibt es das Niedersachsenmenü nicht mehr?","enrolled","Master Lehramt an Gymnasien","51","178","de","A3","A2","","A5","A4","A3","440.72","70.19","358.17","12.36"
"Are there internship opportunities supported by the University?","enrolled","Cognitive Science","52","179","en","A3","A2","","A5","A4","A1","411.74","52.45","296.34","62.95"
"What student organizations or clubs are open to international students?","international","Cognitive Science","53","180","en","A3","A2","","A6","A5","A1","534.43","81.53","387.84","65.06"
"Wie teurer ist es in einem Studentenwohnheim zu wohnen?","enrolled","Cognitive Science","54","181","de","A2","A2","","A4","A4","A2","420.47","58.39","343.54","18.54"
"Wo kann ich die Prüfungsordnung für Cognitive Science finden?","enrolled","Cognitive Science, B.Sc.","57","183","de","A2","A2","","A4","A4","A1","354.19","40.38","241.74","72.07"
"Unterstützt sie finanziell ","other","","71","184","de","A2","A2","","A4","A1","A2","250.56","64.16","177.46","8.94"
