"german_question_text_q","english_question_text_q","role_q","program_q","participant_id_q","question_id_q","question_language_q","age_q","gender_q","gender[other]_q","educationlevel_q","educationstatus_q","familiar_q","interviewtime_q","demographics_time_q","question_time_q","email_time_q","translation_done_q"
"Welche Stipendien stehen internationalen Masterstudenten an der Universität Osnabrück zur Verfügung?","What scholarships are available for international Master’s students at Osnabrück University?","international","Cognitive Science","53","27","en","A3","A2","","A6","A5","A1","534.43","81.53","387.84","65.06","True"
"Wo kann ich die neuen study regulations für Cognitive Science ab dem Wintersemester 24/25 finden?","Where can I find the new study regulations for Cognitive Science for the winter semester 24/25?","enrolled","Cognitive Science","54","28","de","A2","A2","","A4","A4","A2","420.47","58.39","343.54","18.54","True"
"Wo finde ich das Formular zur Anmeldung meiner Bachelorarbeit?","Where can I find the form to register my bachelor's thesis?","enrolled","Cognitive Science, B.Sc.","57","30","de","A2","A2","","A4","A4","A1","354.19","40.38","241.74","72.07","True"
"Welche Studiengänge gilt es auf der Universität ","Which courses of study are there at the university?","other","","71","31","de","A2","A2","","A4","A1","A2","250.56","64.16","177.46","8.94","True"
"Wie viel kostet mich ein Semester an der Uni?","How much does a semester at the university cost me?","prospective","","72","32","de","A1","A2","","A4","A2","A4","743.18","413.85","310.76","18.57","True"
"Welche Studiengänge sind an der Uni vertreten?","Which courses of study are represented at the university?","enrolled","Rechtswissenschaften","77","33","de","A2","A2","","A4","A4","A2","565.25","84.76","461.16","19.33","True"
"Wer sind die Ansprechpartner bezüglich eines Studienstarts? ","Who are the contacts regarding the start of a study?","prospective","","85","35","de","A1","A2","","A4","A2","A5","658.58","153.64","496.42","8.52","True"
"Welche Studiengänge werden Angeboten?","What courses are offered?","prospective","","86","36","de","A1","A2","","A4","A2","A3","460.74","57.33","389.96","13.45","True"
"Welche Studiengänge kann man an der Uni Osnabrück studieren?","What courses can one study at the University of Osnabrück?","prospective","","88","37","de","A1","A2","","A2","A2","A2","414.7","135.11","264.4","15.19","True"
"Wie viele Studenten sind da?","How many students are there?","other","","92","38","de","A1","A2","","A2","A1","A2","303.55","63.41","232.83","7.31","True"
"Welche Studiengänge werden angeboten?","What courses of study are offered?","other","","93","39","de","A1","A2","","A2","A1","A2","641.42","187.82","435.48","18.12","True"
"Bieten sie grundschullehramt Studiengänge an?
","Do you offer primary school teaching degree programs?","prospective","","99","41","de","A2","A2","","A2","A2","A3","1202.31","154.2","1036.36","11.75","True"
"Ist das Studium Biologie zulassungsbeschränkt?","Is the Biology study program restricted in admission?","enrolled","Biologie","102","42","de","A2","A2","","A4","A4","A2","506.07","60.73","432.18","13.16","True"
"Welche Studiengänge gibt es?","What courses of study are there?","other","","109","44","de","A1","A2","","A2","A1","A3","278.85","83.17","187.82","7.86","True"
"Welche Fächer werden an dieser Uni unterrichtet ","What subjects are taught at this university?","prospective","","112","45","de","A1","A1","","A2","A2","A1","374.51","103.69","254.58","16.24","True"
"Was für Studiengänge gibt es?","What types of degree programs are there?","other","","114","46","de","A1","A2","","A2","A1","A3","269.69","53.81","192.19","23.69","True"
"Welche Studienfächer gibt es an der Universität?","What subjects are there at the university?","enrolled","Soziologie","115","47","de","A3","A2","","A5","A4","A4","231.12","45.58","178.93","6.61","True"
"Was kann ich alles studieren?","What all can I study?","other","","117","48","de","A1","A1","","A2","A1","A3","172.49","56.36","110.6","5.53","True"
"Welche Kurse gibt es dieses Semester im Bereich Cognitive Science (Bachelor)?","What courses are available this semester in the field of Cognitive Science (Bachelor)?","enrolled","Cognitive Science","118","49","de","A2","A2","","A4","A4","A2","493.27","35.0","423.33","34.94","True"
"Wie lange dauert ein Studium?","How long does a degree take?","prospective","","119","50","de","A1","A1","","A2","A2","A3","180.71","41.57","133.58","5.56","True"
"Welche Studiengänge werden an der Universität Osnabrück angeboten, insbesondere in den Bereichen Naturwissenschaft und Technologie?","What academic programs are offered at Osnabrück University, especially in the fields of science and technology?","international","Cognitive science","120","51","en","A2","A1","","A4","A5","A3","278.49","64.85","181.97","31.67","True"
"Was muss ich alles für meine Immatrikulation erledigen?","What all do I need to do for my enrollment?","enrolled","Cognitive Science","16","52","de","A2","A1","","A4","A4","A1","296.44","41.96","235.25","19.23","True"
"Ist die Universität Osnabrück ein internationaler studentenfreundlicher Campus?","Is University of Osnabrück an international student friendly campus?","enrolled","Cognitive Science","17","53","en","A2","A2","","A4","A4","A2","415.44","38.97","356.76","19.71","True"
"Ich muss eine Präsentation machen, wo finde ich Vorlagen in verschiedenen Dateiformaten?","I need to make a presentation, where can I find templates in different file formats?","enrolled","Bachelor of Science Cognitive Science","18","54","de","A2","A1","","A4","A4","A2","539.12","66.19","456.09","16.84","True"
"Wann fängt da nächste Semester an?","When does the next semester start?","enrolled","Cognitive Science","19","55","de","A3","A2","","A5","A4","A1","419.18","34.73","379.1","5.35","True"
"An wen muss ich mich wenden, wenn ich im nächsten Jahr ein Auslandssemester plane?","Who should I contact if I plan to study abroad next year?","enrolled","Cognitive Science","20","56","de","A2","A2","","A4","A4","A2","443.46","49.35","347.8","46.31","True"
"In welchen Ländern hat die Universität Osnabrück Partnerschaften für ein Auslandssemester?","In which countries does the University of Osnabrück have partnerships for a semester abroad?","enrolled","Cognitive Science","21","57","de","A2","A2","","A5","A4","A3","848.8","55.92","751.32","41.56","True"
"Was gibt es heute in der Mensa Westerberg zu essen?","What is there to eat today at the Westerberg cafeteria?","enrolled","Cognitive Science","23","59","de","A2","A2","","A4","A4","A2","496.45","76.49","396.08","23.88","True"
"Wo ist das International Office?","Where is the International Office?","international","Bachelor of Science, Cognitive Science","24","60","de","A2","A2","","A4","A5","A1","531.26","48.45","447.18","35.63","True"
"Ich möchte mein Pflicht-Auslandssemester in Form eines Auslandspraktikums durchführen. Darf ich dieses Praktikum theoretisch auch in den Sommerferien abschließen, falls es ein Projekt gibt wo dies zeitlich passen würde, oder darf ich es nur während dem Semester machen?","I would like to complete my mandatory semester abroad in the form of an internship abroad. Am I allowed to theoretically also complete this internship during the summer holidays, if there is a project where this would fit in terms of time, or am I only allowed to do it during the semester?","enrolled","Bachelor of Science, Cognitive Science","26","61","de","A2","A1","","A4","A4","A1","1198.34","78.39","1090.87","29.08","True"
"Welche Kurse sind fuer Cognitive Science studenten im naechstne semester verfuegbar?","Which courses are available for Cognitive Science students in the next semester?","enrolled","Cognitive Science","27","62","de","A2","A1","","A4","A4","A1","438.64","64.2","357.17","17.27","True"
"Was ist die Bewerbungsfrist für den Masterstudiengang Cognitive science für das Kommende Sommer Semester? ","What is the application deadline for the Cognitive Science Master's program for the upcoming summer semester?","enrolled","Cognitive Science","28","63","de","A3","A1","","A2","A4","A2","770.65","396.13","364.82","9.7","True"
"Wo kann ich Informationen zu meinem Auslandssemester finden? Was muss ich einreichen und wo bewerbe ich mich?","Where can I find information on my semester abroad? What do I need to hand in and where do I apply? ","enrolled","Cognitive Science","29","64","en","A2","A2","","A4","A4","A1","886.18","99.94","636.79","149.45","True"
"Gibt es eine zentrale Anlaufstelle, bei der ich jede beliebige Frage stellen kann?","Is there a central point of contact where I can ask any question I want?","enrolled","Cognitive Science B.Sc.","31","65","de","A2","A2","","A4","A4","A3","485.73","47.36","423.78","14.59","True"
"Wie lange dauert es in Regelstudienzeit Psychologie zu studieren?","How long does it typically take to study psychology in regular study time?","enrolled","Psychologie","36","67","de","A2","A2","","A5","A4","A2","1634.31","27.81","1526.32","80.18","True"
"Wie läuft der Bewerbungsprozess für internationale Studierende ab, und welche Dokumente werden benötigt?","How does the application process for international students work, and what documents are required?","other",".","37","68","de","A8","A3","","A10","A8","A6","651.14","419.28","194.43","37.43","True"
"Wer ist der/ die Ansprechpartner*in für mein Studienfach? bzw. für mein spezifische Anliegen?","Who is the contact person for my field of study? Or for my specific concern?","enrolled","Lehramt für berufsbildende Schulen","39","69","de","A3","A1","","A5","A4","A2","310.06","54.0","244.02","12.04","True"
"Wo finde ich Informationen zu einem möglichen Auslandsaufenthalt?","Where can I find information about a possible stay abroad?","enrolled","","42","70","de","A2","A2","","A4","A4","A5","392.59","42.69","339.2","10.7","True"
"Wann hat die Mensa Schlossgarten heute geöffnet?","When is the Schlossgarten cafeteria open today?","enrolled","Wirtschaftsrecht","43","71","de","A2","A2","","A4","A4","A3","343.07","45.47","292.08","5.52","True"
"Wie funktioniert das Raumnummerierungssystem?","How does the room numbering system work?","enrolled","Wirtschaftsrecht","46","72","de","A3","A2","","A6","A4","A4","471.32","61.98","394.89","14.45","True"
"Sind die oberen Führungsebenen der Universität Osnabrück durchschnittlich Weiß und männlich?","Are the upper management levels of the University of Osnabrück predominantly white and male?","enrolled","","47","73","de","A3","-oth-","Nichtbinär","A5","A4","A3","392.53","39.66","344.84","8.03","True"
"Wann beginnt das neue Semester?","When does the new semester start?","other","","49","74","de","A3","A2","","A6","A7","A2","531.24","61.25","464.91","5.08","True"
"Wo finde ich den Plan des Campus?","Where do I find the map of the campus","enrolled","Cognitive Science","50","75","en","A3","A2","","A4","A4","A2","236.81","29.64","192.72","14.45","True"
"Was gibt es für Veranstaltungen an der Uni, an denen ich neues kennenlernen kann?","What events are there at the university where I can learn something new?","enrolled","Master Lehramt an Gymnasien","51","76","de","A3","A2","","A5","A4","A3","440.72","70.19","358.17","12.36","True"
"Welche Teilzeitjob-Möglichkeiten gibt es für Studenten in Osnabrück?","What are the part-time job opportunities for students in Osnabrück?","enrolled","Cognitive Science","52","77","en","A3","A2","","A5","A4","A1","411.74","52.45","296.34","62.95","True"
"Welche Gesundheits- und Beratungsdienste stehen internationalen Studenten zur Verfügung?","What health and counseling services are available for international students?","international","Cognitive Science","53","78","en","A3","A2","","A6","A5","A1","534.43","81.53","387.84","65.06","True"
"Gibt es eine App in der ich das Angebot der Mensa einsehen kann?","Is there an app where I can view the menu of the cafeteria?","enrolled","Cognitive Science","54","79","de","A2","A2","","A4","A4","A2","420.47","58.39","343.54","18.54","True"
"Wann endet der Rückmeldungszeitraum dieses Senester?","When does the feedback period for this semester end?","enrolled","Cognitive Science","56","80","de","A3","A1","","A4","A4","A2","1054.06","45.21","962.92","45.93","True"
"Ist ein Auslandssemester für den Bachelor Abschluss in Cognitive Science notwendig?","Is a semester abroad necessary for a Bachelor's degree in Cognitive Science?","enrolled","Cognitive Science, B.Sc.","57","81","de","A2","A2","","A4","A4","A1","354.19","40.38","241.74","72.07","True"
"Welchen Abschluss brauche ich ","What degree do I need","other","","71","82","de","A2","A2","","A4","A1","A2","250.56","64.16","177.46","8.94","True"
"Wo finde ich Wohnungsmöglichkeiten in der Nähe der Uni? ","Where can I find housing options near the university?","prospective","","72","83","de","A1","A2","","A4","A2","A4","743.18","413.85","310.76","18.57","True"
"Wo ist (Bsp: Raum. 01/E01)?","Where is (example: Room. 01/E01)?","enrolled","Rechtswissenschaften","77","84","de","A2","A2","","A4","A4","A2","565.25","84.76","461.16","19.33","True"
"Wie sollte ich entscheiden, für welches Stipendium ich mich angesichts meiner persönlichen Situation bewerben sollte?","How should I decide which scholarship grant to apply to given my personal situation?","international","Cognitive Science","83","85","en","A2","A2","","A4","A5","A4","483.54","71.2","349.62","62.72","True"
"Welche Studiengänge gibt es an der Universität Osnabrück?","What courses of study are available at the University of Osnabrück?","prospective","","85","86","de","A1","A2","","A4","A2","A5","658.58","153.64","496.42","8.52","True"
"Besteht die Möglichkeit an Auslandsaufenthalten teilzunehmen?","Is there the possibility to participate in stays abroad?","prospective","","86","87","de","A1","A2","","A4","A2","A3","460.74","57.33","389.96","13.45","True"
"Wie bewirbt man sich für ein Studium, und braucht man dafür einen bestimmten Notendurchschnitt","How do you apply for a study program, and do you need a certain grade point average for it?","prospective","","88","88","de","A1","A2","","A2","A2","A2","414.7","135.11","264.4","15.19","True"
"Sind die Räume gut beheizt?","Are the rooms well heated?","other","","92","89","de","A1","A2","","A2","A1","A2","303.55","63.41","232.83","7.31","True"
"Ab welchem Notendurchschnitt wird man an der Uni (vielleicht) angenommen?","From what grade point average are you (possibly) accepted at the university?","other","","93","90","de","A1","A2","","A2","A1","A2","641.42","187.82","435.48","18.12","True"
"Ist die Uni gut erreichbar?","Is the university easily accessible?","prospective","","99","92","de","A2","A2","","A2","A2","A3","1202.31","154.2","1036.36","11.75","True"
"Bis wann kann ich mich für Bachelor Biologie bewerben?","Until when can I apply for a Bachelor's in Biology?","enrolled","Biologie","102","93","de","A2","A2","","A4","A4","A2","506.07","60.73","432.18","13.16","True"
"Welche Dokumente muss ich einreichen?","What documents do I need to submit?","international","Cognitive science","103","94","en","A3","A2","","A5","A5","A2","237.7","31.74","200.95","5.01","True"
"Wie ist die Geschichte der Uni?","What is the history of the university?","other","","109","95","de","A1","A2","","A2","A1","A3","278.85","83.17","187.82","7.86","True"
"Welche Fächer könnten etwas für mich sein ","Which subjects could be something for me?","prospective","","112","96","de","A1","A1","","A2","A2","A1","374.51","103.69","254.58","16.24","True"
"Welchen nc braucht man für welches Studium?","What NC do you need for which course of study?","other","","114","97","de","A1","A2","","A2","A1","A3","269.69","53.81","192.19","23.69","True"
"Wie melde ich mich fuer meine Bachelorarbeit an?","How do I register for my bachelor's thesis?","enrolled","Cognitive Science","118","100","de","A2","A2","","A4","A4","A2","493.27","35.0","423.33","34.94","True"
"Was ist besser Studium oder Ausbildung?","What is better, studying or training?","prospective","","119","101","de","A1","A1","","A2","A2","A3","180.71","41.57","133.58","5.56","True"
"Was sind die Zulassungsvoraussetzungen für internationale Studierende und werden spezifische Sprachkenntnistests akzeptiert?","What are the admission requirements for international students, and are there specific language proficiency tests accepted?","international","Cognitive science","120","102","en","A2","A1","","A4","A5","A3","278.49","64.85","181.97","31.67","True"
"Was muss ich alles nach meiner Immatrikulation erledigen?","What all do I need to do after my enrollment?","enrolled","Cognitive Science","16","103","de","A2","A1","","A4","A4","A1","296.44","41.96","235.25","19.23","True"
"Wie kann ich bei meiner Ankunft in Osnabrück eine Studentenunterkunft bekommen?","How am I able to get a student accomodation during my arrival at Osnabrück?","enrolled","Cognitive Science","17","104","en","A2","A2","","A4","A4","A2","415.44","38.97","356.76","19.71","True"
"Welche Tools stellt die Uni mir zur Verfügung?","What tools does the university provide me with?","enrolled","Bachelor of Science Cognitive Science","18","105","de","A2","A1","","A4","A4","A2","539.12","66.19","456.09","16.84","True"
"Wo finde ich Infos zu Stipendien?","Where can I find information about scholarships?","enrolled","Cognitive Science","19","106","de","A3","A2","","A5","A4","A1","419.18","34.73","379.1","5.35","True"
"Wie kann ich auf Online Inhalte der Bibliothek zugreifen?","How can I access the online content of the library?","enrolled","Cognitive Science","20","107","de","A2","A2","","A4","A4","A2","443.46","49.35","347.8","46.31","True"
"Wann sind wieder Semesterferien?","When is the semester break again?","enrolled","Cognitive Science","21","108","de","A2","A2","","A5","A4","A3","848.8","55.92","751.32","41.56","True"
"Welche Studiengänge bietet die Universität Osnabrück an?","What courses does the University of Osnabrück offer?","enrolled","Cognitive Science","23","110","de","A2","A2","","A4","A4","A2","496.45","76.49","396.08","23.88","True"
"Wie melde ich mich für eine Bachelorarbeit an?","How do I register for a bachelor's thesis?","international","Bachelor of Science, Cognitive Science","24","111","de","A2","A2","","A4","A5","A1","531.26","48.45","447.18","35.63","True"
"Darf ich während meines Auslandssemesters bzw. Auslandspraktikums weiterhin an Kursen der Universität Osnabrück teilnehmen? Oder ist meine Teilnahme an Kursen in dem Zeitraum des Auslandsaufenthalts blockiert? ","May I continue to participate in courses at the University of Osnabrück during my semester abroad or internship abroad? Or is my participation in courses blocked during the period of my stay abroad?","enrolled","Bachelor of Science, Cognitive Science","26","112","de","A2","A1","","A4","A4","A1","1198.34","78.39","1090.87","29.08","True"
"Ich arbeite als Werkstudent, kann ich als Tutor auf minijob basis arbeiten?","I work as a working student, can I work as a tutor on a mini job basis?","enrolled","Cognitive Science","27","113","de","A2","A1","","A4","A4","A1","438.64","64.2","357.17","17.27","True"
"Wie viele Leistunspunke ist das Master Projekt in Cognitive science? ","How many credit points is the Master's project in Cognitive Science?","enrolled","Cognitive Science","28","114","de","A3","A1","","A2","A4","A2","770.65","396.13","364.82","9.7","True"
"Ich möchte eine finanzielle Unterstützung für Studenten erhalten. Gibt es Optionen, die von der Universität selbst angeboten werden?","I want to have student financial support. Are there any options provided by the university itself? ","enrolled","Cognitive Science","29","115","en","A2","A2","","A4","A4","A1","886.18","99.94","636.79","149.45","True"
"Passt dieser Studiengang wirklich zu mir?","Does this course of study really suit me?","enrolled","Cognitive Science B.Sc.","31","116","de","A2","A2","","A4","A4","A3","485.73","47.36","423.78","14.59","True"
"Auf welche Master Studiengänge (der UOS) kann ich mich mit meinem Bachelor in Cognitive Science bewerben?","Which master's programs (at UOS) can I apply to with my Bachelor's in Cognitive Science?","enrolled","Cognitive Science","35","117","de","A2","A1","","A4","A4","A2","972.32","141.77","803.98","26.57","True"
"Wo finde ich Praktikumsstellen?","Where can I find internship positions?","enrolled","Psychologie","36","118","de","A2","A2","","A5","A4","A2","1634.31","27.81","1526.32","80.18","True"
"Wo finde ich Informationen zu den Wohnheimen oder anderen Unterkunftsmöglichkeiten für Studierende in Osnabrück?","Where can I find information about dormitories or other accommodation options for students in Osnabrück?","other",".","37","119","de","A8","A3","","A10","A8","A6","651.14","419.28","194.43","37.43","True"
"An wen kann ich mich wenden, um berufspraktische Tätigkeiten nachzuweisen?","Who can I turn to in order to verify professional practical activities?","enrolled","Lehramt für berufsbildende Schulen","39","120","de","A3","A1","","A5","A4","A2","310.06","54.0","244.02","12.04","True"
"Wo finde ich allgemeine Informationen zu den verschiedenen Fachbereichen?","Where can I find general information about the different departments?","enrolled","","42","121","de","A2","A2","","A4","A4","A5","392.59","42.69","339.2","10.7","True"
"Wo finde ich das Klausurdeckblatt zum downloaden?","Where can I find the exam cover sheet to download?","enrolled","Wirtschaftsrecht","43","122","de","A2","A2","","A4","A4","A3","343.07","45.47","292.08","5.52","True"
"Wo kann ich meine bisher erbrachten Leistungen und Noten einsehen?","Where can I view my previously provided services and grades?","enrolled","Wirtschaftsrecht","46","123","de","A3","A2","","A6","A4","A4","471.32","61.98","394.89","14.45","True"
"Welche Angebote vom Sportzentrum gibt es?","What offers are there from the sports center?","enrolled","","47","124","de","A3","-oth-","Nichtbinär","A5","A4","A3","392.53","39.66","344.84","8.03","True"
"Welcher Hausmeister ist für Gebäude 94 zuständig?","Which caretaker is responsible for building 94?","other","","49","125","de","A3","A2","","A6","A7","A2","531.24","61.25","464.91","5.08","True"
"Wann sind die Ferien für dieses Semester?","When is the holiday for this semester?","enrolled","Cognitive Science","50","126","en","A3","A2","","A4","A4","A2","236.81","29.64","192.72","14.45","True"
"Was mache ich bei Studienzweifeln?","What do I do if I have doubts about my studies?","enrolled","Master Lehramt an Gymnasien","51","127","de","A3","A2","","A5","A4","A3","440.72","70.19","358.17","12.36","True"
"Was ist das Kreditsystem, um meinen Master abzuschließen?","What is the credit system to finish my masters?","enrolled","Cognitive Science","52","128","en","A3","A2","","A5","A4","A1","411.74","52.45","296.34","62.95","True"
"Gibt es spezielle Workshops oder Networking-Veranstaltungen für Masterstudenten in Kognitionswissenschaften?","Are there any special workshops or networking events for Master’s students in Cognitive Science?","international","Cognitive Science","53","129","en","A3","A2","","A6","A5","A1","534.43","81.53","387.84","65.06","True"
"Bis wann kann ich mich für einen NC-freien Studiengang an der Uni einschreiben?","Until when can I enroll for a non-NC course at the university?","enrolled","Cognitive Science","54","130","de","A2","A2","","A4","A4","A2","420.47","58.39","343.54","18.54","True"
"Was gibt es heute in der Mensa?","What is on the menu in the cafeteria today?","enrolled","Cognitive Science","56","131","de","A3","A1","","A4","A4","A2","1054.06","45.21","962.92","45.93","True"
"Wo finde ich das Formular für Versuchspersonenstunden?","Where can I find the form for experimental subject hours?","enrolled","Cognitive Science, B.Sc.","57","132","de","A2","A2","","A4","A4","A1","354.19","40.38","241.74","72.07","True"
"Welche angebote bietet der Universität ","What offers does the university provide?","other","","71","133","de","A2","A2","","A4","A1","A2","250.56","64.16","177.46","8.94","True"
"Wie viele Student studieren momentan an der Uni? ","How many students are currently studying at the university?","prospective","","72","134","de","A1","A2","","A4","A2","A4","743.18","413.85","310.76","18.57","True"
"Wie lauten die Kontaktdaten der Uni?","What are the contact details of the university?","enrolled","Rechtswissenschaften","77","135","de","A2","A2","","A4","A4","A2","565.25","84.76","461.16","19.33","True"
"Wie kann ich mich für Sprachlernservices bewerben?","How can I apply to language learning services?","international","Cognitive Science","83","136","en","A2","A2","","A4","A5","A4","483.54","71.2","349.62","62.72","True"
"Gibt es Auslandssemester, die von der Universität angeboten werden? ","Are there study abroad semesters offered by the university?","prospective","","85","137","de","A1","A2","","A4","A2","A5","658.58","153.64","496.42","8.52","True"
"Wie kann ich jemanden erreichen, der mir weiterhilft?","How can I reach someone who can help me?","prospective","","86","138","de","A1","A2","","A4","A2","A3","460.74","57.33","389.96","13.45","True"
"Gibt es an der Uni ein Angebot für Schüler, wie z. B. Schnuppertage oder Vorlesungen?","Does the university offer anything for school students, such as taster days or lectures?","prospective","","88","139","de","A1","A2","","A2","A2","A2","414.7","135.11","264.4","15.19","True"
"Wen sollte ich bei Hilfe fragen?","Who should I ask for help?","other","","92","140","de","A1","A2","","A2","A1","A2","303.55","63.41","232.83","7.31","True"
"Was ist besonders an der Uni? / Was bietet diese, was andere Universitäten nicht bieten?","What is special about the university? / What does it offer that other universities do not offer?","other","","93","141","de","A1","A2","","A2","A1","A2","641.42","187.82","435.48","18.12","True"
"Wie sind die Mietpreise für Wohnungen in der Nähe des Campus","What are the rental prices for apartments near the campus?","prospective","","99","143","de","A2","A2","","A2","A2","A3","1202.31","154.2","1036.36","11.75","True"
"Erfolgt die Bewerbung für Studium über Uniassist oder direkt?","Is the application for studies made through Uniassist or directly?","enrolled","Biologie","102","144","de","A2","A2","","A4","A4","A2","506.07","60.73","432.18","13.16","True"
