"answer_text_a","answer_links_a","question_id_a","participant_id_a","role_a","age_a","gender_a","gender[other]_a","educationlevel_a","educationstatus_a","program_a","familiar_a","interviewtime_a","english_answer_text_a","english_answer_links_a"
"Die Universität Osnabrück bietet eine Reihe von Stipendien an, die speziell auf internationale Studierende zugeschnitten sind. Dazu gehören unter anderem das Deutschlandstipendium, das DAAD Studienabschlussstipendium und das PhD interConnect Stipendium. Zudem gibt es externe Anbieter wie den DAAD oder private Stiftungen, die je nach Studiengang und Herkunftsland unterschiedliche Programme anbieten.

Neben den Stipendien gibt es auch die Möglichkeit, eine Anstellung an der Universität zu finden. Studierende können als studentische Hilfskräfte oder in wissenschaftlichen Projekten arbeiten, was nicht nur eine finanzielle Unterstützung bietet, sondern auch wertvolle Berufserfahrung verschafft.

Für internationale Studierende, die zusätzlich finanzielle Unterstützung benötigen, gibt es verschiedene Kredite. Dazu zählen der Bildungskredit und der KfW-Studienkredit, die unter bestimmten Voraussetzungen von internationalen Studierenden in Anspruch genommen werden können.

Falls du in eine finanzielle Notlage gerätst, stehen dir verschiedene Unterstützungsfonds zur Verfügung. Der Sozialfonds für Osnabrücker Studierende (SOS) bietet schnelle und unbürokratische Hilfe in Notfällen, ebenso wie der Allgemeine Studierendenausschuss (AStA), der einen einmaligen, zinsfreien Notkredit bereitstellt. Zudem gibt es den Ökumenischen Notfonds, der speziell für Studierende aus dem Globalen Süden und Osteuropa gedacht ist.

Weitere Details zu den verschiedenen Fördermöglichkeiten und Bewerbungsfristen findest du auf der Seite [Kosten, Finanzierung und Stipendien](https://www.uni-osnabrueck.de/studieninteressierte/studieninteressierte-aus-dem-ausland/kosten-und-finanzierung/).

Falls du noch spezielle Fragen hast oder Hilfe bei der Recherche brauchst, lass es mich wissen! Ich unterstütze dich gerne weiter."," [Kosten, Finanzierung und Stipendien](https://www.uni-osnabrueck.de/studieninteressierte/studieninteressierte-aus-dem-ausland/kosten-und-finanzierung/)","153","4","enrolled","A2","A1","","A4","A4","Cognitive Science","A2","9338.83","The University of Osnabrück offers a range of scholarships specifically tailored for international students. These include, among others, the Deutschlandstipendium, the DAAD Study Completion Scholarship, and the PhD interConnect Scholarship. Additionally, there are external providers such as the DAAD or private foundations that offer different programs depending on the course of study and country of origin.

In addition to scholarships, there is also the possibility of finding employment at the university. Students can work as student assistants or in scientific projects, which not only provides financial support but also valuable work experience.

For international students who need additional financial support, there are various loans available. These include the education loan and the KfW student loan, which can be utilized by international students under certain conditions.

If you find yourself in a financial emergency, various support funds are available to you. The Social Fund for Osnabrück Students (SOS) offers quick and unbureaucratic help in emergencies, as does the General Student Committee (AStA), which provides a one-time, interest-free emergency loan. Additionally, there is the Ecumenical Emergency Fund, which is specifically intended for students from the Global South and Eastern Europe.

Further details on the various funding opportunities and application deadlines can be found on the page [Costs, Financing, and Scholarships](https://www.uni-osnabrueck.de/studieninteressierte/studieninteressierte-aus-dem-ausland/kosten-und-finanzierung/).

If you have any specific questions or need help with research, let me know! I am happy to assist you further."," [Costs, Financing, and Scholarships](https://www.uni-osnabrueck.de/studieninteressierte/studieninteressierte-aus-dem-ausland/kosten-und-finanzierung/)"
"Die Universität Osnabrück stellt dir eine Vielzahl an hilfreichen Tools zur Verfügung:

Über das Online-Portal [myUOS](https://myuos.uni-osnabrueck.de/) kannst du auf das zentrale Organisationswerkzeug Stud.ip zugreifen, deinen offiziellen E-Mail-Account einrichten, deine Module und Prüfungen über HisInOne verwalten und Videokonferenzen über BBB (BigBlueButton) durchführen – und vieles mehr.

Zusätzlich bietet dir das [Rechenzentrum (RZ)](https://www.rz.uni-osnabrueck.de/) WLAN über eduroam, VPN über eduVPN, Cloud-Speicher mit myShare sowie den Team-Messenger Element.

Die Universitätsbibliothek stellt dir insbesondere die Möglichkeit zur Ausleihe sowie digitalen Ausleihe und Verlängerung zur Verfügung.

Für eine schnelle Übersicht findest du hier auch einen kleinen [Spickzettel](https://digitale-lehre.uni-osnabrueck.de/wp-content/uploads/2024/10/spickzettel-online-lehre-10-24.pdf).

Falls du noch Fragen zu einem der Tools hast oder Hilfe benötigst, lass es mich wissen!","[Spickzettel](https://digitale-lehre.uni-osnabrueck.de/wp-content/uploads/2024/10/spickzettel-online-lehre-10-24.pdf); [Rechenzentrum (RZ)](https://www.rz.uni-osnabrueck.de/); [myUOS](https://myuos.uni-osnabrueck.de/); [UB](https://www.ub.uni-osnabrueck.de/); [Rechenzentrum von A-Z](https://www.rz.uni-osnabrueck.de/a_bis_z.html); [UB A-Z der Bibliothek](https://www.ub.uni-osnabrueck.de/ub_von_a_bis_z/a_z_der_bibliothek.html);  [von A-Z](https://www.rz.uni-osnabrueck.de/a_bis_z.html) bietet:","105","4","enrolled","A2","A1","","A4","A4","Cognitive Science","A2","9338.83","The University of Osnabrück provides you with a variety of helpful tools:

Through the online portal [myUOS](https://myuos.uni-osnabrueck.de/), you can access the central organizational tool Stud.IP, set up your official email account, manage your modules and exams via HisInOne, conduct video conferences via BBB (BigBlueButton) – and much more.

Additionally, the [Computer Center (RZ)](https://www.rz.uni-osnabrueck.de/) offers you Wi-Fi via eduroam, VPN via eduVPN, cloud storage with myShare, as well as the team messenger Element.

The university library provides you with the option for borrowing, as well as digital borrowing and renewal.

For a quick overview, you can also find a small [cheat sheet](https://digitale-lehre.uni-osnabrueck.de/wp-content/uploads/2024/10/spickzettel-online-lehre-10-24.pdf) here.

If you have any questions about one of the tools or need assistance, let me know!","[Cheat sheet](https://digitale-lehre.uni-osnabrueck.de/wp-content/uploads/2024/10/spickzettel-online-lehre-10-24.pdf); [Data Center (DC)](https://www.rz.uni-osnabrueck.de/); [myUOS](https://myuos.uni-osnabrueck.de/); [UB](https://www.ub.uni-osnabrueck.de/); [Data center from A-Z](https://www.rz.uni-osnabrueck.de/a_bis_z.html); [UB A-Z of the Library](https://www.ub.uni-osnabrueck.de/ub_von_a_bis_z/a_z_der_bibliothek.html);  [from A-Z](https://www.rz.uni-osnabrueck.de/a_bis_z.html) bietet:"
"Ich konnte keine Workshops oder spezifische Networkinf-Veranstaltungen für Masterstudierende der Kognitionswissenschaft finden. 
Was es allerdings gibt, ist das CogSci-network,dem Studierende und ehemalige Studierende der Kognitionswissenschaften an der Universität Osnabrück beitreten können, um in Kontakt mit insgesamt tausenden von Studierenden, Alumni und lehrenden zubleiben. Das CogSci-Network unterstützt studentische Initiativen und innovative Ideen im Bereich der Kognitionswissenschaft und plant Veranstaltungen für seine Mitglieder.","https://www.cogsci-network.org/de","129","5","enrolled","A2","A2","","A4","A4","Cognitive Science","A2","837.51","I couldn't find any workshops or specific networking events for master's students in cognitive science. However, there is the CogSci-network, which students and alumni of cognitive sciences at the University of Osnabrück can join to stay in contact with thousands of students, alumni, and faculty members. The CogSci-Network supports student initiatives and innovative ideas in the field of cognitive science and plans events for its members.","https://www.cogsci-network.org/de"
"Ein Masterstudium an der Universität Osnabrück bietet die Möglichkeit, auf einem bereits erworbenen Bachelorabschluss aufzubauen und vertiefte Kenntnisse in speziellen Schwerpunktbereichen des jeweiligen Fachs zu erwerben. Dieses weiterführende Studium ist stärker forschungsorientiert und richtet sich an Studierende mit verstärktem wissenschaftlichen Interesse.
Um herausfinden, welchesMasterstudium für Sie der richtige Weg ist, können Sie den 15-Minütigen Test der Universität machen: https://studynavi.uni-osnabrueck.de/","https://www.uni-osnabrueck.de/studieninteressierte/abschluesse/bachelor-und-master/?utm_source=chatgpt.com; https://studynavi.uni-osnabrueck.de/","351","5","enrolled","A2","A2","","A4","A4","Cognitive Science","A2","837.51","A master's program at the University of Osnabrück offers the opportunity to build on an already acquired bachelor's degree and gain in-depth knowledge in specific focus areas of the respective subject. This advanced study is more research-oriented and is aimed at students with a heightened scientific interest. To find out which master's program is the right path for you, you can take the 15-minute test from the university: https://studynavi.uni-osnabrueck.de/","https://www.uni-osnabrueck.de/studieninteressierte/abschluesse/bachelor-und-master/?utm_source=chatgpt.com; https://studynavi.uni-osnabrueck.de/"
"Das Gebäude 69 der Universität OSnabrück befindet sich in der Albrechtstraße 28a am Westerberg-Campus.","https://www.uni-osnabrueck.de/universitaet/lageplaene/; https://geo.osnabrueck.de/uni/?i=map","212","5","enrolled","A2","A2","","A4","A4","Cognitive Science","A2","837.51","Building 69 of the University of Osnabrück is located at Albrechtstraße 28a on the Westerberg campus.","https://www.uni-osnabrueck.de/universitaet/lageplaene/; https://geo.osnabrueck.de/uni/?i=map"
"Die Kosten für ein Einzelzimmer in einem Studentenwohnheim betragen ca. 255 bis 490 Euro monatlich.
Zu Beginn fällt außerdem eine Kaution von 400 Euro für ein Zimmer an. Die Kaution bekommen Sie zurück, wenn Sie ihr Zimmer beim Auszug in ordnungsgemäßem Zustand hinterlassen.

Achtung: Austauchstudierende von Partnerhochschulen bewerben sich für ein Zimmer im Studentenwohnheim über das International Office!

Bei Fragen über die Standorte der Studentenwerke können Sie das Studierendenwerk Osnabrück kontaktieren:
Ritterstraße 10
49074 Osnabrück
Tel. +49 541 331073-0
Mail: wohnen@sw-os.de

Weitere Informationen finden Sie auf der Seite [Website des Studierendenwerks Osnabrück](https://www.studentenwerk-osnabrueck.de/de/wohnen.html)
","[Unterkunft für Studierende aus aller Welt](https://www.uni-osnabrueck.de/studieninteressierte/studieninteressierte-aus-dem-ausland/service/wohnen/)","143","6","enrolled","A2","A2","","A4","A4","Cognitive Science","A1","1576.12","The cost for a single room in a student dormitory is approximately 255 to 490 euros per month. Additionally, a deposit of 400 euros is required for a room at the beginning. You will get the deposit back if you leave your room in proper condition when you move out.

Attention: Exchange students from partner universities apply for a room in the student dormitory through the International Office!

For questions about the locations of the student services, you can contact the Student Services Osnabrück:
Ritterstraße 10
49074 Osnabrück
Tel. +49 541 331073-0
Mail: wohnen@sw-os.de

Further information can be found on the page [Website of the Student Services Osnabrück](https://www.studentenwerk-osnabrueck.de/de/wohnen.html)","[Accommodation for students from all over the world](https://www.uni-osnabrueck.de/studieninteressierte/studieninteressierte-aus-dem-ausland/service/wohnen/)"
"Dies können Sie über den Service von OPIUM (MyUOS) einsehen.

Ergebnisse sind unter ""Mein Studium"" > ""Studienservice"" sowie unter ""Mein Studium"" > ""Leistungen"" zu finden. Ergebnisse aus dem alten System sind unter dem Menüpunkt ""Mein Studium"" > ""altes System (OPIuM)"" zu finden.

Sie haben außerdem die Möglichkeit über ""Mein Studium"" > ""Studienservice"" in dem Reiter ""Bescheinigungen"" Ihre Leistungsübersicht in deutscher oder englischer Sprache als PDF zu erstellen und zu drucken.
Über ""Mein Studium"" > ""Leistungen"" haben Sie im unteren Bereich ebenfalls die Möglichkeit Ihre Leistungsübersicht als PDF zu erstellen.

Weitere Informationen finden Sie bei dem zuständigen Prüfungsamt für ihren Fachbereich.","[virtUOS FAQ](https://www2.uni-osnabrueck.de/virtuos/pruefung-und-verwaltung/faqs)","123","6","enrolled","A2","A2","","A4","A4","Cognitive Science","A1","1576.12","You can view this through the service of OPIUM (MyUOS).

Results can be found under ""My Studies"" > ""Study Service"" as well as under ""My Studies"" > ""Achievements"". Results from the old system can be found under the menu item ""My Studies"" > ""old system (OPIuM)"".

You also have the option to create and print your performance overview in German or English as a PDF under ""My Studies"" > ""Study Service"" in the ""Certificates"" tab. Under ""My Studies"" > ""Achievements"" you also have the option to create your performance overview as a PDF in the lower section.

Further information can be found at the responsible examination office for your department.","[virtUOS FAQ](https://www2.uni-osnabrueck.de/virtuos/pruefung-und-verwaltung/faqs)"
"Dazu können Sie zum Beispiel das Angebot des ""Studieren PLuS"" wahrnehmen. Studieren PLuS ist das Verzeichnis der fachunabhängigen Angebote zum Schlüsselkompetenzerwerb an der Universität Osnabrück.

Klicken Sie auf die ""Lernen und wissenschaftlich arbeiten"". Die Veranstaltungen dieses Lernfelds unterstützen den Erwerb von Kompetenzen, die wesentlich sind für ein gelingendes und erfolgreiches Studium in allen Fächern und allen Studienphasen. Es geht darum, Lern- und Studientechniken zu erlernen und effektiv zu nutzen.

Weitere Informationen finden Sie über die Website [Studieren PLuS](https://www.uni-osnabrueck.de/studium/im-studium/studieren-plus/lernen-und-wissenschaftlich-arbeiten/)

Leider kann ich Ihnen bei dieser Frage sonst nicht weiterhelfen, da das Lernen ein komplexes und sehr individuelles Thema ist. Tut mir leid, ich wünsche Ihnen viel Erfolg dabei ihr Lernen zu Optimieren.","[Studieren PLuS](https://www.uni-osnabrueck.de/studium/im-studium/studieren-plus/lernen-und-wissenschaftlich-arbeiten/)","315","6","enrolled","A2","A2","","A4","A4","Cognitive Science","A1","1576.12","You can, for example, take advantage of the ""Studieren PLuS"" offer. Studieren PLuS is the directory of subject-independent offers for acquiring key competencies at the University of Osnabrück.

Click on ""Learning and Scientific Work."" The events in this learning field support the acquisition of competencies that are essential for a successful and effective study in all subjects and all phases of study. It is about learning and effectively using study techniques.

Further information can be found on the website [Studieren PLuS](https://www.uni-osnabrueck.de/studium/im-studium/studieren-plus/lernen-und-wissenschaftlich-arbeiten/)

Unfortunately, I cannot help you further with this question, as learning is a complex and very individual topic. I'm sorry, I wish you much success in optimizing your learning.","[Studying PLuS](https://www.uni-osnabrueck.de/studium/im-studium/studieren-plus/lernen-und-wissenschaftlich-arbeiten/)"
"Die verwendeten Antwortdaten wurden unter anderem durch die Unterstützung von Studierenden der Universität Osnabrück gesammelt, welche sich hierfür freiwillig melden konnten. 

Für weitere Informationen können Sie das [virtUOS Team kontaktieren](https://www2.uni-osnabrueck.de/virtuos/ueber-das-virtuos/kontakt), welches für die Erstellung und Instandhaltung dieses Chatbots verantwortlich ist.","[virtUOS Kontakt](https://www2.uni-osnabrueck.de/virtuos/ueber-das-virtuos/kontakt)","328","7","enrolled","A2","A1","","A4","A4","Bachelor of Science, Cognitive Science","A1","5231.96","The response data used was collected, among other things, with the support of students from the University of Osnabrück, who could volunteer for this purpose.

For more information, you can contact the [virtUOS team](https://www2.uni-osnabrueck.de/virtuos/ueber-das-virtuos/kontakt), which is responsible for the creation and maintenance of this chatbot.","[virtUOS Contact](https://www2.uni-osnabrueck.de/virtuos/ueber-das-virtuos/kontakt)"
"Der Aufbau der Vorlesungen an der Universität Osnabrück umfasst sowohl zeitliche als auch inhaltliche Aspekte.

Zeitlicher Aufbau
Vorlesungen werden üblicherweise in zweistündige Blöcke eingeteilt. Allerdings beträgt die tatsächliche Vorlesungsdauer nur 90 Minuten, da das sogenannte „akademische Viertel“ berücksichtigt wird.
Beispiel: Eine Vorlesung, die im Stundenplan von 14:00 bis 16:00 Uhr eingetragen ist, beginnt tatsächlich um 14:15 Uhr und endet um 15:45 Uhr. Dies ermöglicht den Studierenden Zeit für den Wechsel zwischen den Veranstaltungsorten.
Einige Vorlesungen können je nach Fach und Bedarf von diesem Schema abweichen, beispielsweise durch kompakte Veranstaltungen oder ganztägige Blockseminare.

Inhaltlicher Aufbau
Der inhaltliche Ablauf der Vorlesung wird von den jeweiligen Dozierenden gestaltet und hängt vom Fachbereich sowie vom behandelten Thema ab. Typischerweise besteht eine Vorlesung aus:
- Präsentation von Lehrinhalten: Dozierende verwenden oft unterstützende Materialien wie Präsentationsfolien.
- Interaktion: In einigen Vorlesungen werden Diskussionen, Fragerunden oder Übungen eingebaut, um den Stoff zu vertiefen.

Begleitmaterialien
Dozierende stellen in der Regel begleitende Lernmaterialien über die Lernplattform Stud.IP zur Verfügung. Diese können umfassen:
- Vorlesungsskripte oder Folien,
- Aufzeichnungen der Vorlesungen (wenn unterstützt),
- zusätzliche Literaturhinweise oder Übungsaufgaben.
Die Verfügbarkeit und der Umfang dieser Materialien können je nach Lehrperson und Fachbereich variieren.

Lehrformate
Neben klassischen Präsenzvorlesungen gibt es auch hybride Formate oder vollständig digitale Vorlesungen, die über Plattformen wie BigBlueButton oder Opencast abgehalten werden. Diese Formate wurden insbesondere während der Pandemie verstärkt genutzt und ergänzen seither das Angebot.

Für spezifische Informationen zu einer bestimmten Vorlesung können Sie den jeweiligen Modulplan oder die Kursbeschreibung auf Stud.IP einsehen.","","347","7","enrolled","A2","A1","","A4","A4","Bachelor of Science, Cognitive Science","A1","5231.96","The structure of lectures at the University of Osnabrück includes both temporal and content aspects.

Temporal Structure
Lectures are usually divided into two-hour blocks. However, the actual lecture duration is only 90 minutes, as the so-called ""academic quarter"" is taken into account. 
Example: A lecture scheduled from 2:00 PM to 4:00 PM actually starts at 2:15 PM and ends at 3:45 PM. This allows students time to move between venues. 
Some lectures may deviate from this scheme depending on the subject and need, for example through compact sessions or full-day block seminars.

Content Structure
The content flow of the lecture is designed by the respective lecturers and depends on the department and the topic covered. Typically, a lecture consists of:
- Presentation of teaching content: Lecturers often use supporting materials such as presentation slides.
- Interaction: Some lectures incorporate discussions, Q&A sessions, or exercises to deepen the material.

Accompanying Materials
Lecturers usually provide accompanying learning materials via the Stud.IP learning platform. These may include:
- Lecture scripts or slides,
- Recordings of the lectures (if supported),
- Additional literature references or exercises.
The availability and extent of these materials may vary depending on the instructor and department.

Teaching Formats
In addition to classic in-person lectures, there are also hybrid formats or fully digital lectures held via platforms like BigBlueButton or Opencast. These formats were increasingly used during the pandemic and have since complemented the offerings.

For specific information on a particular lecture, you can view the respective module plan or course description on Stud.IP.",""
"Die Anmeldung zur Bachelorarbeit an der Universität Osnabrück erfolgt in mehreren Schritten und erfordert die Einhaltung bestimmter Voraussetzungen. Hier sind die wichtigsten Informationen dazu:

Voraussetzungen für die Anmeldung
Für die Anmeldung müssen die in Ihrer Prüfungsordnung festgelegten Voraussetzungen erfüllt sein. Diese können je nach Studiengang variieren. Bitte prüfen Sie Ihre Prüfungsordnung, um sicherzustellen, dass Sie die Zulassungsvoraussetzungen erfüllen.

Anmeldung beim Prüfungsamt
Der Antrag auf Zulassung zur Bachelorarbeit muss schriftlich beim zuständigen Prüfungsamt eingereicht werden.
Die hierfür erforderlichen Formulare und Antragsvordrucke stehen auf der Webseite der Universität online zur Verfügung. Achten Sie darauf, den für Ihre Arbeit korrekten Vordruck auszufüllen und alle notwendigen Angaben und Unterschriften einzutragen.
Sollten Sie unsicher sein, welches Formular benötigt wird, können Sie sich direkt an die Mitarbeiterinnen und Mitarbeiter des Prüfungsamts wenden.

Abgabetermin und Frist
Nach der Zulassung zur Bachelorarbeit haben Sie in der Regel drei Monate Zeit, um Ihre Arbeit einzureichen. Der genaue Abgabetermin wird Ihnen schriftlich mitgeteilt.

Abgabe der Bachelorarbeit
Die Bachelorarbeit muss in gedruckter und gebundener Form, in dreifacher Ausführung, fristgerecht beim Prüfungsamt abgegeben werden. Stellen Sie sicher, dass der Eingangsstempel des Prüfungsamts als Nachweis für die fristgerechte Abgabe vorhanden ist.

Die Universität Osnabrück hat

Falls Sie Fragen zur Anmeldung oder Unsicherheiten zur Anmeldung oder den Formularen haben können sie das Prüfungsamt für ihren jeweiligen Fachbereich kontaktieren. Die Universität Osnabrück hat außerdem einen allgemeinen [Leitfaden zum Thema Bachelorarbeit[(https://www.igb.uni-osnabrueck.de/fileadmin/documents/public/Fachgebiete/Pflegewissenschaft/Studiengänge/Leitfaden_Bachelorarbeit_2016.pdf) veröffentlich unter dem sie sich genauer informieren können.","[Prüfungsamt FAQ](https://www.lili.uni-osnabrueck.de/fachbereich/studium_und_lehre/pruefungsamt/haeufig_gestellte_fragen.html#c15836); [Anmeldeformular Bachelorarbeit](https://www.lili.uni-osnabrueck.de/fachbereich/studium_und_lehre/pruefungsamt/formulare_und_antragsvordrucke.html); [Bachelorarbeit Leitfaden](https://www.igb.uni-osnabrueck.de/fileadmin/documents/public/Fachgebiete/Pflegewissenschaft/Studiengänge/Leitfaden_Bachelorarbeit_2016.pdf)","111","7","enrolled","A2","A1","","A4","A4","Bachelor of Science, Cognitive Science","A1","5231.96","Registration for the Bachelor's thesis at the University of Osnabrück takes place in several steps and requires compliance with certain prerequisites. Here is the most important information:

Prerequisites for Registration
To register, the prerequisites set out in your examination regulations must be met. These may vary depending on the degree program. Please check your examination regulations to ensure that you meet the admission requirements.

Registration with the Examination Office
The application for admission to the Bachelor's thesis must be submitted in writing to the responsible Examination Office. The necessary forms and application templates are available online on the university's website. Make sure to fill out the correct template for your thesis and include all necessary information and signatures. If you are unsure which form is needed, you can contact the staff of the Examination Office directly.

Submission Deadline and Period
After admission to the Bachelor's thesis, you generally have three months to submit your thesis. The exact submission deadline will be communicated to you in writing.

Submission of the Bachelor's Thesis
The Bachelor's thesis must be submitted in printed and bound form, in triplicate, to the Examination Office on time. Ensure that the receipt stamp of the Examination Office is present as proof of timely submission.

If you have questions about registration or uncertainties about the registration or forms, you can contact the Examination Office for your respective department. The University of Osnabrück has also published a general [Guide on the Bachelor's Thesis](https://www.igb.uni-osnabrueck.de/fileadmin/documents/public/Fachgebiete/Pflegewissenschaft/Studiengänge/Leitfaden_Bachelorarbeit_2016.pdf) where you can find more detailed information.","[Examination Office FAQ](https://www.lili.uni-osnabrueck.de/fachbereich/studium_und_lehre/pruefungsamt/haeufig_gestellte_fragen.html#c15836); [Registration form Bachelor's thesis](https://www.lili.uni-osnabrueck.de/fachbereich/studium_und_lehre/pruefungsamt/formulare_und_antragsvordrucke.html); [Bachelor Thesis Guide](https://www.igb.uni-osnabrueck.de/fileadmin/documents/public/Fachgebiete/Pflegewissenschaft/Studiengänge/Leitfaden_Bachelorarbeit_2016.pdf)"
"Es gibt verschiedene Möglichkeiten für Studierende einen Wohnraum in der Nähe der Universität Osnabrück zu finden.

Erste Ansprechpartnerin für studentischen Wohnraum ist die Wohnraumzentrale des Studentenwerks unter [Webseite Studentenwerk Osnabrück](https://www.studentenwerk-osnabrueck.de/de/wohnen.html). Sie vermittelt neben Wohnheimplätzen auch einige Wohnungen am freien Markt. Insgesamt stehen rund 2000 Wohnheimplätze zur Verfügung. Die Wohnformen reichen vom Einzelzimmer bis zu Wohngemeinschaften und Familienappartements.

Wer eine rasche Übergangslösung sucht, kann bei der Osnabrücker Mitwohnzentrale ""zweitraum"" unter [Webseite Zweitraum Osnabrück](https://zweitraum-osnabrueck.de/mitwohnzentrale-osnabrueck-mieten.html) fündig werden. Es vermittelt kurzfristig Mitwohnmöglichkeiten. Dabei fallen Gebühren in Abhängigkeit von der Mietdauer und der Miethöhe an.

Mittwochs und Samstags werden im Wohnungsmarkt der Neuen Osnabrücker Zeitung Wohnungen angeboten. Am Schwarzen Brett der Universität können Wohnungsangebote und -gesuche online gemeldet werden. Natürlich gibt es aber auch zahlreiche Seiten im Internet, die bei der Wohnungssuche helfen können.

Weitere Informationen finden Sie auf der [Webseite Wohnen UOS](https://www.uni-osnabrueck.de/studieninteressierte/leben-in-osnabrueck/wohnen/).

","[Webseite Studentenwerk Osnabrück](https://www.studentenwerk-osnabrueck.de/de/wohnen.html); [Webseite Zweitraum Osnabrück](https://zweitraum-osnabrueck.de/mitwohnzentrale-osnabrueck-mieten.html) ; [Webseite Wohnen UOS](https://www.uni-osnabrueck.de/studieninteressierte/leben-in-osnabrueck/wohnen/)","83","8","enrolled","A2","A2","","A5","A4","Cognitive Science","A3","3651.39","There are various ways for students to find accommodation near the University of Osnabrück.

The first point of contact for student housing is the housing center of the Studentenwerk at [Studentenwerk Osnabrück website](https://www.studentenwerk-osnabrueck.de/de/wohnen.html). In addition to dormitory places, it also mediates some apartments on the open market. A total of around 2000 dormitory places are available. The housing options range from single rooms to shared apartments and family apartments.

Those looking for a quick interim solution can find options at the Osnabrücker Mitwohnzentrale ""zweitraum"" at [Zweitraum Osnabrück website](https://zweitraum-osnabrueck.de/mitwohnzentrale-osnabrueck-mieten.html). It provides short-term cohabitation opportunities. Fees apply depending on the rental duration and the rent amount.

On Wednesdays and Saturdays, apartments are offered in the housing market of the Neue Osnabrücker Zeitung. Housing offers and requests can be posted online on the university's bulletin board. Of course, there are also numerous websites on the internet that can help with the apartment search.

Further information can be found on the [Wohnen UOS website](https://www.uni-osnabrueck.de/studieninteressierte/leben-in-osnabrueck/wohnen/).","[Website Studentenwerk Osnabrück](https://www.studentenwerk-osnabrueck.de/de/wohnen.html); [Website Zweitraum Osnabrück](https://zweitraum-osnabrueck.de/mitwohnzentrale-osnabrueck-mieten.html) ; [Website Living UOS](https://www.uni-osnabrueck.de/studieninteressierte/leben-in-osnabrueck/wohnen/)"
"Die Universität Osnabrück verfügt über ein vielseitiges Angebot an Hochschulsport. Eine Übersicht aller Sportangebote findest du unter [Hochschulsport Sportangebote](https://buchung.zfh.uni-osnabrueck.de/angebote/aktueller_zeitraum/index.html).

Ebenso verfügt die Universität Osnabrück über zahlreiche musikalische Ensembles wie den Universitätschor, den Unipopchor oder die Uni Big Band, die Studierende aller Fakultäten zur Teilnahme einladen. Weitere Ensembles findest du unter [Webseite Ensembles UOS](https://www.musik.uni-osnabrueck.de/praxis/ensembles.html).","[Hochschulsport Sportangebote](https://buchung.zfh.uni-osnabrueck.de/angebote/aktueller_zeitraum/index.html)  ; [Webseite Ensembles UOS](https://www.musik.uni-osnabrueck.de/praxis/ensembles.html)","213","8","enrolled","A2","A2","","A5","A4","Cognitive Science","A3","3651.39","The University of Osnabrück offers a diverse range of university sports. An overview of all sports offerings can be found at [University Sports Offerings](https://buchung.zfh.uni-osnabrueck.de/angebote/aktueller_zeitraum/index.html).

The University of Osnabrück also has numerous musical ensembles such as the University Choir, the Unipop Choir, or the Uni Big Band, which invite students from all faculties to participate. More ensembles can be found at [Website Ensembles UOS](https://www.musik.uni-osnabrueck.de/praxis/ensembles.html).","[University Sports Offerings](https://buchung.zfh.uni-osnabrueck.de/angebote/aktueller_zeitraum/index.html)  ; [Website Ensembles UOS](https://www.musik.uni-osnabrueck.de/praxis/ensembles.html)"
"Je nachdem für welchen Studiengang Sie sich entscheiden, stehen Ihnen diverse Karrieremöglichkeiten nach einem Studienabschluss zur Verfügung. 

Um Ihnen spezifische Karrieremöglichkeiten nennen zu können, nennen Sie mir bitte den Studiengang für den Sie sich gerade interessieren.","","230","8","enrolled","A2","A2","","A5","A4","Cognitive Science","A3","3651.39","Depending on which degree program you choose, various career opportunities are available to you after graduation.

To be able to name specific career opportunities for you, please tell me the degree program you are currently interested in.",""
