"survey_number","token","url","question_id","survey_distributed","survey_filled"
"46","5835492","PLACEHOLDER","[209  35  33]","False","False"
"47","2431139","PLACEHOLDER","[ 76 304  69]","False","False"
"48","7459178","PLACEHOLDER","[131 127 158]","False","False"
"49","6518366","PLACEHOLDER","[312 206 208]","False","False"
"50","4880559","PLACEHOLDER","[174 334 309]","False","False"
"51","3301534","PLACEHOLDER","[326 317  84]","False","False"
"52","1762271","PLACEHOLDER","[ 59 114  16]","False","False"
"53","7334706","PLACEHOLDER","[115  55 155]","False","False"
"54","3337366","PLACEHOLDER","[222 321   2]","False","False"
"55","8382478","PLACEHOLDER","[173 258 280]","False","False"
"56","5995278","PLACEHOLDER","[332  28 223]","False","False"
"57","2936260","PLACEHOLDER","[366 104 210]","False","False"
"58","4277177","PLACEHOLDER","[ 72 179 310]","False","False"
"59","1287787","PLACEHOLDER","[ 13  26 124]","False","False"
"60","6508219","PLACEHOLDER","[ 24 330 207]","False","False"
"61","4876881","PLACEHOLDER","[178 237 277]","False","False"
"62","8492832","PLACEHOLDER","[117 246  64]","False","False"
"63","3321418","PLACEHOLDER","[ 12 216 161]","False","False"
"64","7453362","PLACEHOLDER","[ 11 218 132]","False","False"
"65","1847616","PLACEHOLDER","[144  61 121]","False","False"
"66","1817383","PLACEHOLDER","[318 175 220]","False","False"
"67","1543463","PLACEHOLDER","[ 70 313 275]","False","False"
"68","3059603","PLACEHOLDER","[262 160 331]","False","False"
"69","9574999","PLACEHOLDER","[122 279  62]","False","False"
"70","5923817","PLACEHOLDER","[ 42 177   3]","False","False"
"71","9671067","PLACEHOLDER","[215 260 164]","False","False"
"72","2303533","PLACEHOLDER","[79 67 81]","False","False"
"73","7530542","PLACEHOLDER","[ 54 120 360]","False","False"
"74","1275617","PLACEHOLDER","[  5 271 130]","False","False"
"75","5008311","PLACEHOLDER","[ 52 257  15]","False","False"
"76","7880787","PLACEHOLDER","[ 18 112 219]","False","False"
"77","4346397","PLACEHOLDER","[157 169 108]","False","False"
"78","6955043","PLACEHOLDER","[232 214 302]","False","False"
"79","6903174","PLACEHOLDER","[265 283 339]","False","False"
"80","7378483","PLACEHOLDER","[135 361 116]","False","False"
"81","5398188","PLACEHOLDER","[166 324 308]","False","False"
"82","5524945","PLACEHOLDER","[311 172 268]","False","False"
"83","9248731","PLACEHOLDER","[ 25  20 284]","False","False"
"84","8282425","PLACEHOLDER","[269 165 253]","False","False"
"85","6863711","PLACEHOLDER","[118 163 181]","False","False"
"86","5887110","PLACEHOLDER","[217 100  49]","False","False"
"87","2299239","PLACEHOLDER","[224 225 285]","False","False"
"88","8468402","PLACEHOLDER","[263 154  65]","False","False"
"89","7467156","PLACEHOLDER","[156 168 234]","False","False"
"90","3814602","PLACEHOLDER","[128 270 355]","False","False"
"91","4262905","PLACEHOLDER","[276  93 251]","False","False"
"92","4678089","PLACEHOLDER","[126  30 348]","False","False"
"93","3717693","PLACEHOLDER","[359 171 228]","False","False"
"94","9680733","PLACEHOLDER","[261 106  53]","False","False"
"95","7787178","PLACEHOLDER","[ 77   7 314]","False","False"
"96","4252254","PLACEHOLDER","[307 320 110]","False","False"
"97","7680646","PLACEHOLDER","[ 82 250  68]","False","False"
"98","3728548","PLACEHOLDER","[170 293 252]","False","False"
"99","4537389","PLACEHOLDER","[95 44 17]","False","False"
"100","8499617","PLACEHOLDER","[176 199 352]","False","False"
"101","4107936","PLACEHOLDER","[242 278 345]","False","False"
"102","5140952","PLACEHOLDER","[ 74  89 350]","False","False"
"103","3258735","PLACEHOLDER","[ 90 344 140]","False","False"
"104","7596947","PLACEHOLDER","[146 301 184]","False","False"
"105","1010163","PLACEHOLDER","[ 39 133 119]","False","False"
"106","2089060","PLACEHOLDER","[192 227  46]","False","False"
"107","6818876","PLACEHOLDER","[38 48 31]","False","False"
"108","1626460","PLACEHOLDER","[329  97 272]","False","False"
"109","3670713","PLACEHOLDER","[221 141 294]","False","False"
"110","1620639","PLACEHOLDER","[150 248 299]","False","False"
"111","4395726","PLACEHOLDER","[201 148  23]","False","False"
"112","8779985","PLACEHOLDER","[125 323 243]","False","False"
